Time,Pulse,Heart Rate,Response Pad,Correct Response,
15.6,5.2217,0,8,0,
15.65,5.22271,0,0,0,
15.7,5.2243,0,0,0,
15.75,5.22587,0,0,0,
15.8,5.22749,0,0,0,
15.85,5.22911,0,0,0,
15.9,5.23095,0,0,0,
15.95,5.23247,0,0,0,
16,5.23409,0,0,0,
16.05,5.23552,0,0,0,Diff-Green-Red.png
16.1,5.23694,0,0,0,
16.15,5.23827,0,8,65,
16.2,5.23943,0,8,65,
16.25,5.24041,0,8,0,
16.3,5.24137,0,0,0,
16.35,5.24257,0,0,0,
16.4,5.24386,0,0,0,
16.45,5.24498,0,0,0,
16.5,5.24615,0,0,0,
16.55,5.24728,0,0,0,
16.6,5.24834,0,0,0,
16.65,5.2493,0,0,0,
16.7,5.25012,0,0,0,
16.75,5.2508,0,8,0,
16.8,5.25174,0,8,0,Diff-Blue-Red.png
16.85,5.25263,0,8,0,
16.9,5.25353,0,0,0,
16.95,5.25444,0,0,0,
17,5.25516,0,0,0,
17.05,5.25614,0,0,0,
17.1,5.25705,0,0,0,
17.15,5.25791,0,0,0,
17.2,5.25902,0,0,0,
17.25,5.25994,0,0,0,
17.3,5.26085,0,0,0,
17.35,5.26177,0,0,0,
17.4,5.26268,0,0,0,
17.45,5.2639,0,8,0,
17.5,5.26508,0,8,0,
17.55,5.26604,0,8,0,
17.6,5.26696,0,0,0,
17.65,5.26779,0,0,0,Diff-Black-Red.png
17.7,5.26854,0,0,0,
17.75,5.26909,0,0,0,
17.8,5.26996,0,0,0,
17.85,5.27092,0,0,0,
17.9,5.27188,0,0,0,
17.95,5.27275,0,0,0,
18,5.27378,0,0,0,
18.05,5.27489,0,0,0,
18.1,5.27581,0,0,0,
18.15,5.27654,0,0,0,
18.2,5.27748,0,0,0,
18.25,5.27816,0,0,0,
18.3,5.27889,0,8,640,
18.35,5.27982,0,8,640,
18.4,5.28059,0,8,0,Diff-Green-Blue.png
18.45,5.2813,0,0,0,
18.5,5.28206,0,0,0,
18.55,5.28269,0,0,0,
18.6,5.28344,0,0,0,
18.65,5.28425,0,0,0,
18.7,5.28527,0,0,0,
18.75,5.28621,0,0,0,
18.8,5.2874,0,0,0,
18.85,5.28827,0,0,0,
18.9,5.28923,0,0,0,
18.95,5.29015,0,0,0,
19,5.29107,0,0,0,
19.05,5.29229,0,0,0,
19.1,5.29372,0,0,0,
19.15,5.2952,0,8,0,
19.2,5.29656,0,8,0,Same-Yellow-Yellow.png
19.25,5.29784,0,8,0,
19.3,5.29931,0,0,0,
19.35,5.30114,0,0,0,
19.4,5.30266,0,0,0,
19.45,5.30419,0,0,0,
19.5,5.30577,0,0,0,
19.55,5.30755,0,0,0,
19.6,5.30929,0,0,0,
19.65,5.3109,0,0,0,
19.7,5.31243,0,0,0,
19.75,5.31426,0,0,0,
19.8,5.31589,0,0,0,
19.85,5.31747,0,0,0,
19.9,5.31928,0,0,0,
19.95,5.32128,0,1,720,Diff-Red-Yellow.png
20,5.32316,0,1,720,
20.05,5.32494,0,1,0,
20.1,5.32647,0,0,0,
20.15,5.32813,0,0,0,
20.2,5.32982,0,0,0,
20.25,5.33172,0,0,0,
20.3,5.33349,0,0,0,
20.35,5.33516,0,0,0,
20.4,5.33695,0,0,0,
20.45,5.3389,0,0,0,
20.5,5.34066,0,0,0,
20.55,5.34264,0,0,0,
20.6,5.34471,0,0,0,
20.65,5.34655,0,0,0,
20.7,5.34844,0,0,0,
20.75,5.35027,0,0,0,
20.8,5.35241,0,8,0,Same-Blue-Blue.png
20.85,5.35428,0,8,0,
20.9,5.35607,0,8,0,
20.95,5.3578,0,0,0,
21,5.35925,0,0,0,
21.05,5.36085,0,0,0,
21.1,5.36274,0,0,0,
21.15,5.36431,0,0,0,
21.2,5.36614,0,0,0,
21.25,5.36793,0,0,0,
21.3,5.3698,0,0,0,
21.35,5.37162,0,0,0,
21.4,5.37347,0,0,0,
21.45,5.37511,0,0,0,
21.5,5.37682,0,0,0,
21.55,5.37835,0,1,705,Same-Red-Red.png
21.6,5.37987,0,1,0,
21.65,5.38114,0,1,0,
21.7,5.38288,0,0,0,
21.75,5.38445,0,0,0,
21.8,5.38595,0,0,0,
21.85,5.3875,0,0,0,
21.9,5.38903,0,0,0,
21.95,5.39051,0,0,0,
22,5.3918,0,0,0,
22.05,5.3933,0,0,0,
22.1,5.39452,0,0,0,
22.15,5.39584,0,0,0,
22.2,5.39727,0,0,0,
22.25,5.39874,0,1,0,
22.3,5.40007,0,1,0,
22.35,5.40169,0,1,0,
22.4,5.40332,0,0,0,Diff-Blue-Red.png
22.45,5.4049,0,0,0,
22.5,5.40642,0,0,0,
22.55,5.40795,0,0,0,
22.6,5.40948,0,0,0,
22.65,5.411,0,0,0,
22.7,5.41253,0,0,0,
22.75,5.41419,0,0,0,
22.8,5.41589,0,0,0,
22.85,5.41756,0,0,0,
22.9,5.4192,0,0,0,
22.95,5.42081,0,0,0,
23,5.4226,0,0,0,
23.05,5.42439,0,0,0,
23.1,5.42596,0,8,660,
23.15,5.42779,0,8,660,
23.2,5.42931,0,8,0,Diff-Yellow-Red.png
23.25,5.43115,0,0,0,
23.3,5.43288,0,0,0,
23.35,5.4345,0,0,0,
23.4,5.43629,0,0,0,
23.45,5.43781,0,0,0,
23.5,5.43944,0,0,0,
23.55,5.44117,0,0,0,
23.6,5.44271,0,0,0,
23.65,5.44404,0,0,0,
23.7,5.44549,0,0,0,
23.75,5.44676,0,0,0,
23.8,5.44823,0,0,0,
23.85,5.44945,0,0,0,
23.9,5.45098,0,0,0,
23.95,5.45232,0,0,0,Diff-Black-Blue.png
24,5.45365,0,8,10,
24.05,5.45501,0,8,10,
24.1,5.45652,0,8,0,
24.15,5.45807,0,8,0,
24.2,5.45983,0,0,0,
24.25,5.46136,0,0,0,
24.3,5.46288,0,0,0,
24.35,5.46451,0,0,0,
24.4,5.46624,0,0,0,
24.45,5.46783,0,0,0,
24.5,5.46935,0,0,0,
24.55,5.47082,0,0,0,
24.6,5.47215,0,0,0,
24.65,5.47362,0,0,0,
24.7,5.47509,0,0,0,
24.75,5.47641,0,0,0,
24.8,5.47758,0,0,0,Diff-Green-Blue.png
24.85,5.47866,0,0,0,
24.9,5.47967,0,0,0,
24.95,5.48073,0,0,0,
25,5.4818,0,0,0,
25.05,5.48293,0,8,215,
25.1,5.48384,0,8,215,
25.15,5.48455,0,8,0,
25.2,5.48536,0,0,0,
25.25,5.48638,0,0,0,
25.3,5.4872,0,0,0,
25.35,5.48805,0,0,0,
25.4,5.48897,0,0,0,
25.45,5.48979,0,0,0,
25.5,5.49065,0,0,0,
25.55,5.49146,0,0,0,Diff-Black-Green.png
25.6,5.49202,0,0,0,
25.65,5.49279,0,0,0,
25.7,5.49352,0,0,0,
25.75,5.49437,0,0,0,
25.8,5.49513,0,0,0,
25.85,5.49584,0,0,0,
25.9,5.49639,0,0,0,
25.95,5.49704,0,0,0,
26,5.49759,0,8,400,
26.05,5.49841,0,8,400,
26.1,5.49918,0,8,0,
26.15,5.49981,0,0,0,
26.2,5.50042,0,0,0,
26.25,5.50074,0,0,0,
26.3,5.50103,0,0,0,
26.35,5.50144,0,0,0,
26.4,5.50195,0,0,0,Diff-Red-Blue.png
26.45,5.50256,0,0,0,
26.5,5.50311,0,0,0,
26.55,5.50347,0,0,0,
26.6,5.50393,0,8,160,
26.65,5.50428,0,8,160,
26.7,5.50453,0,8,0,
26.75,5.505,0,0,0,
26.8,5.50524,0,0,0,
26.85,5.50581,0,0,0,
26.9,5.50638,0,0,0,
26.95,5.50734,0,0,0,
27,5.50835,0,0,0,
27.05,5.50919,0,0,0,
27.1,5.50982,0,8,0,Diff-Yellow-Green.png
27.15,5.51059,0,8,0,
27.2,5.51146,0,8,0,
27.25,5.51216,0,0,0,
27.3,5.51318,0,0,0,
27.35,5.51415,0,0,0,
27.4,5.51521,0,0,0,
27.45,5.51629,0,0,0,
27.5,5.51738,0,0,0,
27.55,5.51843,0,0,0,
27.6,5.51965,0,0,0,
27.65,5.52087,0,0,0,
27.7,5.52214,0,0,0,
27.75,5.52336,0,0,0,
27.8,5.52422,0,8,0,
